City_ID,City,Country,Lat,Lng,Max Temp F°,Humidity %,Cloudiness %,Wind Speed mph,Weather Description
78,Yellowknife,CA,62.456,-114.3525,63.12,42,75,5.01,broken clouds
79,George Town,MY,5.4112,100.3354,85.93,83,20,1.99,few clouds
80,Vanimo,PG,-2.6741,141.3028,86.18,65,17,6.85,few clouds
81,Rubtsovsk,RU,51.5,81.25,76.26,38,99,5.84,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,65.79,86,97,18.16,light rain
83,Qaanaaq,GL,77.484,-69.3632,42.4,95,100,1.79,overcast clouds
84,Pozhva,RU,59.0912,56.0847,66.85,85,77,4.63,broken clouds
85,Egvekinot,RU,66.3167,-179.1667,45.23,99,100,4.25,light rain
86,Baft,IR,29.234,56.6057,72.68,35,42,3.2,scattered clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,69.06,83,35,6.8,scattered clouds
88,Luderitz,NA,-26.6481,15.1594,54.91,93,40,5.44,scattered clouds
89,Oxelosund,SE,58.6706,17.1015,48.58,93,0,0.0,clear sky
90,Yashkul,RU,46.1711,45.3435,82.65,31,2,3.65,clear sky
91,Cayenne,GF,4.9333,-52.3333,81.09,83,0,0.0,clear sky
92,Alofi,NU,-19.0595,-169.9187,75.09,64,75,8.05,broken clouds
93,Atambua,ID,-9.1061,124.8925,84.6,47,100,4.25,overcast clouds
94,North Bend,US,43.4065,-124.2243,60.87,94,90,14.97,overcast clouds
95,Saint George,US,37.1041,-113.5841,102.79,14,1,5.99,clear sky
96,Nichinan,JP,31.6,131.3667,87.48,77,94,9.69,overcast clouds
97,Provideniya,RU,64.3833,-173.3,51.91,82,90,8.95,light intensity drizzle
98,Bethanien,NA,-26.502,17.1583,56.25,43,0,4.09,clear sky
99,Albany,US,42.6001,-73.9662,64.45,84,100,2.62,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,52.02,94,13,5.41,few clouds
101,Mount Gambier,AU,-37.8333,140.7667,55.31,88,75,14.97,broken clouds
102,Santa Fe,AR,-31.6333,-60.7,55.99,63,100,1.99,overcast clouds
103,Upernavik,GL,72.7868,-56.1549,40.62,89,19,10.38,few clouds
104,Euclides Da Cunha,BR,-10.5075,-39.0158,61.09,92,76,4.65,broken clouds
105,Abu Dhabi,AE,24.4667,54.3667,89.71,66,0,0.0,clear sky
106,Paamiut,GL,61.994,-49.6678,45.52,95,100,4.61,light rain
107,Malavalli,IN,12.3833,77.0833,73.26,68,83,15.68,broken clouds
108,Chase,CA,50.8165,-119.6857,84.4,30,7,3.98,clear sky
109,Svetlaya,RU,46.5389,138.3297,66.13,91,100,2.82,light rain
110,Kabinda,CD,-6.1333,24.4833,65.89,43,0,3.74,clear sky
111,Janovice Nad Uhlavou,CZ,49.3451,13.2181,58.69,93,100,5.35,light rain
112,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,83,20,7.14,few clouds
113,Bredasdorp,ZA,-34.5322,20.0403,52.92,87,36,6.91,scattered clouds
114,Esperance,AU,-33.8667,121.9,57.04,71,91,4.88,overcast clouds
115,Sfantu Gheorghe,RO,45.8667,25.7833,65.26,83,5,2.51,clear sky
116,Chokurdakh,RU,70.6333,147.9167,57.47,31,29,13.29,scattered clouds
117,Ilulissat,GL,69.2167,-51.1,44.62,81,44,0.0,scattered clouds
118,Kidodi,TZ,-7.6036,37.0044,64.49,93,26,1.21,scattered clouds
119,Bethel,US,41.3712,-73.414,67.5,83,1,3.44,clear sky
120,Avarua,CK,-21.2078,-159.775,77.05,69,1,9.22,clear sky
121,Brae,GB,60.3964,-1.353,57.11,94,100,6.51,overcast clouds
122,Ahipara,NZ,-35.1667,173.1667,57.0,63,98,6.35,overcast clouds
123,Sistranda,NO,63.7256,8.834,49.89,70,81,4.63,broken clouds
124,Kenai,US,60.5544,-151.2583,66.02,76,1,12.66,clear sky
125,Sambava,MG,-14.2667,50.1667,67.5,84,7,11.72,clear sky
126,Khatanga,RU,71.9667,102.5,76.08,44,100,12.66,overcast clouds
127,Pyapon,MM,16.2833,95.6833,79.52,87,100,9.53,overcast clouds
128,Tirat Karmel,IL,32.7617,34.9719,76.95,70,0,2.75,clear sky
129,Fortuna,US,40.5982,-124.1573,57.92,72,90,1.99,overcast clouds
130,Trincomalee,LK,8.5711,81.2335,83.44,71,100,20.45,overcast clouds
131,San Cristobal,VE,7.7669,-72.225,75.38,98,95,4.54,overcast clouds
132,Yershichi,RU,53.6725,32.7542,52.84,86,7,3.15,clear sky
133,Taoudenni,ML,22.6783,-3.9836,101.93,16,62,6.73,broken clouds
134,Ambon,ID,-3.6954,128.1814,75.34,100,75,3.44,heavy intensity rain
135,Mehamn,NO,71.0357,27.8492,45.77,87,100,21.88,light rain
136,Hilo,US,19.7297,-155.09,78.24,83,90,0.0,moderate rain
137,Sharjah,AE,25.3573,55.4033,93.18,53,0,2.3,clear sky
138,Tilichiki,RU,60.4667,166.1,48.22,56,94,7.11,overcast clouds
139,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,6.91,heavy intensity drizzle
140,Angoram,PG,-4.0625,144.0661,92.82,50,18,2.57,few clouds
141,Thompson,CA,55.7435,-97.8558,78.96,44,75,4.61,smoke
142,Namatanai,PG,-3.6667,152.4333,85.08,69,12,3.49,few clouds
143,Prince Rupert,CA,54.3161,-130.3201,62.69,88,90,9.22,overcast clouds
144,Coquimbo,CL,-29.9533,-71.3436,49.73,93,20,2.3,few clouds
