City_ID,City,Country,Max Temp F°,Weather Description,Lat,Lng,Hotel Name
221,Gizo,SB,82.8,broken clouds,-8.103,156.8419,Imagination Island
222,Qunduz,AF,81.82,clear sky,36.729,68.857,Spin Zar cotton company
227,Nome,US,63.16,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
228,Lorengau,PG,85.78,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
229,Hay River,CA,60.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
230,Tambacounda,SN,76.17,scattered clouds,13.7539,-13.7586, 
233,Bata,GQ,75.06,scattered clouds,1.8639,9.7658,Hotel Elik Melen
235,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
237,Katsuura,JP,87.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
240,Yacuiba,BO,61.12,clear sky,-22.038,-63.6797,Hotel Monumental
241,Bubaque,GW,78.48,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
242,Kamaishi,JP,85.15,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
243,Alyangula,AU,75.96,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
245,Faanui,PF,79.16,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Whitehorse,CA,68.77,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
247,Charters Towers,AU,66.51,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
248,Novyy Svit,UA,74.97,broken clouds,47.8059,38.0211,Энергетик
249,Moerai,PF,73.69,clear sky,-22.4333,-151.3333,Le Manotel
250,Bar Harbor,US,67.26,light rain,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
251,Ulaangom,MN,61.77,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
252,Zalantun,CN,70.92,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
254,Avera,US,80.71,overcast clouds,33.194,-82.5271, 
255,Roccastrada,IT,70.75,overcast clouds,43.0099,11.1665,La Melosa Resort & Spa
256,Jonesboro,US,78.62,clear sky,35.8423,-90.7043,Hilton Garden Inn Jonesboro
257,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
259,Amuntai,ID,75.11,overcast clouds,-2.4177,115.2494,Hotel Balqis
262,Biryusinsk,RU,66.65,overcast clouds,55.9634,97.8235, 
263,Anuradhapura,LK,78.51,overcast clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
264,Cap Malheureux,MU,68.49,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
265,Buala,SB,82.83,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
267,Petatlan,MX,85.8,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
270,Biak,ID,79.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
271,Mahebourg,MU,68.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
272,Adrian,US,75.96,clear sky,41.8975,-84.0372,"Holiday Inn Express Adrian, an IHG Hotel"
274,Torbay,CA,67.57,broken clouds,47.6666,-52.7314,Gallows Cove
277,Alikalia,SL,68.79,light rain,9.1667,-11.4, 
278,Laredo,US,84.2,overcast clouds,27.5064,-99.5075,La Posada Hotel
279,Hami,CN,86.0,few clouds,42.8,93.45,Laoyutang Resort
282,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
283,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
285,Rozivka,UA,70.65,overcast clouds,46.9385,35.7724, 
286,Havelock,US,75.97,broken clouds,34.8791,-76.9013,Sherwood Motel
287,Matola,MZ,60.19,clear sky,-25.9622,32.4589,Guesthouse Yuba
288,Sungairaya,ID,78.06,overcast clouds,0.7,108.9,Mess P.Milu
289,Fortuna,US,76.19,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
290,Port-Gentil,GA,77.16,clear sky,-0.7193,8.7815,Fengshui Residence
292,Peniche,PT,67.75,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
294,Idah,NG,72.18,light rain,7.1065,6.7342,Ubiga Hotel Idah
295,Kurchum,KZ,64.74,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
297,Pyay,MM,76.19,overcast clouds,18.8167,95.2167,Shwe Pyi Thar
298,Russell,US,80.8,clear sky,32.3502,-85.1999,Macs
299,Cabra,ES,80.91,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
301,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
302,Cockburn Town,TC,82.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
303,Cartagena,CO,83.82,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
305,Gorontalo,ID,85.87,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
307,Candating,PH,86.13,overcast clouds,15.1481,120.822,Jansen angeles
309,Los Alamos,US,84.79,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
310,Sokoni,TZ,74.66,few clouds,-6.4333,39.55,Ujamaa Beach Resort
313,Kimbe,PG,84.38,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
314,Byron Bay,AU,67.87,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
315,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
316,Progreso,MX,78.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
317,Suruc,TR,84.4,clear sky,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
318,Baculin,PH,85.68,broken clouds,7.4525,126.5842,Shovy's Cove
322,Nicoya,CR,74.75,light rain,10.1483,-85.452,Guayacan Real
